Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2020-04-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Bahrain,BHR,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,30246749.8010082,35106382.9787234,38563829.787234,43085106.3829787,43617021.2765957,43617021.2765957,41778723.4042553,45538031.9148936,43705319.1489362,43856914.893617,40155319.1489362,40721542.5531915,43229787.2340426,44273936.1702128,47900000,50477659.5744681,,,,,,,,,,,49734042.5531915,63510638.2978723,68085106.3829787,77367021.2765958,76542553.1914894,83696808.5106383,84787234.0425532,89414893.6170213,100132978.723404,98191489.3617021,107074468.085106,103111702.12766,108882978.723404,,
"Bahamas, The",BHS,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,41700000,44200000,44800000,49600000,,61623000,69922000,88162000,82793000,76103000,87181000,97183000,95527000,98900000,94200000,97400000,108600000,99700000,134400000,119500000,105200000,104700000,119000000,116100000,109800000,90800000,110800000,110000000,115000000,97200000,93400000,96500000,104200000,95900000,110700000,,
Bosnia and Herzegovina,BIH,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,450246913.580247,386380573.581746,576711390.217969,643230494.204486,657042109.450475,621468409.586057,490222797.927461,509800969.985359,550332050.048123,614459896.133872,939883428.571429,931210020.983023,1036152908.7294,1215746675.9972,1377506740.56321,1246460686.12828,1167464617.05153,1259963039.30628,1057327552.22704,1243662344.71523,1104417989.41799,1011302523.39098,1077274475.4256,1012822404.0567,1188400120.70006,,
Belarus,BLR,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4968000000,4000000000,3888888888.88889,2793388429.75207,2029204431.01712,2203001634.32544,2228076923.07692,1895740255.73872,1836043184.18314,1541655468.42095,1540755557.2971,1278776978.41727,1478168620.88219,1539541686.98196,2048333333.33333,2573259052.92479,3170209790.20979,3759459459.45946,5265917602.99625,4136519871.10634,5088183954.3471,4941788944.72362,5340818040.06237,5142770270.27027,5755819640.0626,3547168152.70627,3290611178.12626,4140506132.58811,3819738908.51983,,
Belize,BLZ,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,39500000,42600000,45278871.8677915,43907133.8904803,34680262.7727895,35715055.5987717,38007203.9633874,36927695.8970936,41331317.5495266,53536579.9517875,57969483.444351,63827925.404616,71101969.493573,70554350,79826050,81513800,84741250,95711000,98106700,97728900,98372750,110384500,121892700,114233900,118301650,143551900,151615100,148274250,154909300,148826100,150222750,148146950,160621442.571873,170189488.898561,204458009.498861,216563826.404893,228810244.916007,221612053.443421,184977990.37373,205778136.86755,178950495.908003,,
Bermuda,BMU,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21563120,23462616,21915236,23271031,23281000,25481000,31319000,34407000,37858000,39025000,46389000,45249000,48301000,42987000,42971000,43782000,41023000,41539000,,,,,,,
Bolivia,BOL,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,198400673.400673,217424242.424242,242121098.157202,254122938.530735,446226886.556722,501249375.312344,563168415.792104,651224387.806097,695102448.775612,798057177.025285,774877650.897227,1019575856.44372,905235852.958482,1053404135.9064,1329119777.03442,1022523515.49557,670448916.730837,708549529.162713,723452498.468242,719806589.193366,747349061.510094,830456906.663688,812957825.919754,840013364.282197,911798073.801537,997834718.663417,1049235998.89646,1182372532.97299,1072851853.86835,1098434725.75872,1088857604.91631,1079214003.54175,1024164993.0265,1085238275.53792,1168832913.30645,1126096130.71993,1252553672.17535,1313482015.48808,1741200419.98812,1933826638.17664,2041578234.78273,2341089231.65634,2657574819.10275,3055809985.52822,3213900434.1534,3379053400.86831,3791860347.32272,4347002749.63821,4625797105.64399,,
Brazil,BRA,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,2679301006.89669,2604792800.57867,3095469467.44058,3482148271.75638,3359593665.25553,3633362054.60904,3603489773.5958,3980945162.09314,4006319533.33873,4148971365.68338,4390904238.75018,5419467730.85808,6479656891.15567,9074168979.6725,11805727206.0522,13215473676.3705,17488792499.4264,22780422683.1598,20635507897.7901,22271744190.9144,23384778420.9235,25397776715.1497,22711381551.5812,19977112648.1064,21839449808.1673,23417382758.3592,26626058417.942,26493865934.7073,30206070508.5321,35927000000,31751335800,40927000000,27160437500,28735214285.7143,47642734240.5756,38555020050.1253,40551829370.2119,41378317810.7607,41027248858.2507,27847482779.5228,31135495435.9115,26855703596.6329,27812342556.8938,34432618979.5255,37918873880.3419,41471224819.2573,48404365558.7735,61708034307.4316,77462742501.9086,74628708112.4337,90911778080.9459,113596365375.418,102757155291.588,111447057186.587,106236719082.023,77840031260.3324,87891946116.3657,95178291658.8331,81495976791.2858,,
Barbados,BRB,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,,46277412.0093065,38326180.2575107,45697129.75882,45592402.9234823,54591557.6990006,75672450.653806,64077959.5286631,60657286.3322229,67419082.1856511,69208969.3233232,68612340.2774325,72788743.5986675,85317953.5623726,85964301.6954209,74678068.9106548,69308407.4976383,69855317.4563715,67250000,66424700.4424999,52503356.0383831,70998856.4609954,78804753.1447323,66772734.0526028,56182568.4880426,68910654.8003779,61050000,64700000,58700000,63500000,56600000,60600000,61300000,61200000,56600000,63050000,58800000,,,,,,,,,,
Brunei Darussalam,BRN,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,,,,,,,,,,,,,,,14362509.7459888,15603255.5981951,15784361.3404565,17627285.3980487,21108179.4195251,25292007.7255587,31290864.9355502,30292990.0127799,35981308.4112149,37860861.3345954,40316909.6619943,42725330.6667879,45467070.8184073,53181386.5147199,59630292.1884317,28707173.2553966,34013517.2413793,37833005.3253068,40379987.7225292,44232145.0674588,48995286.1071101,54986947.9328348,57402836.8794326,63789129.8491379,57132648.1835564,56809085.5457227,61476624.1299304,63548138.6392811,63900871.2163521,80143496.7282746,88756892.675423,90223624.1288152,80999433.5703946,84466856.8774467,91518487.1577759,97552591.7778084,100476714.3381,106526750.934097,124839948.783611,123881074.168798,147592738.75296,142555822.241618,137224498.660682,131765732.493301,138064496.997554,,
